Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C12,C15,C8,C9",C_0402_1005Metric,C1525,4
10k,"R5,R6",R_0402_1005Metric,C25744,2
10uF,"C10,C11,C13,C7",C_0603_1608Metric,C19702,4
1uF,C14,C_0402_1005Metric,C52923,1
2.2k,R3,R_0402_1005Metric,C25879,1
5.1k,"R1,R2",R_0402_1005Metric,C25905,2
AMS1117-3.3,U4,SOT-223-3_TabPin2,C6186,1
BOOT,SW1,SW-SMD_L3.9-W3.0-P4.45,C720477,1
Conn_01x22_Pin,"J2,J3",PinHeader_1x20_P2.54mm_Vertical,C50981,2
D_Schottky_Small,D1,SOD-123_L2.7-W1.6-LS3.7-RD,C8598,1
EN,SW2,SW-SMD_L3.9-W3.0-P4.45,C720477,1
ESP32-S3-WROOM-1,U1,WIFIM-SMD_ESP32-S3-WROOM-1-N8,C2913198,1
Polyfuse_Small,F1,Fuse_0402_1005Metric,C17168,1
RED LED,D5,LED_0603_1608Metric,C2286,1
TYPE-C-31-M-12,USBC1,USB-C_SMD-TYPE-C-31-M-12_1,C165948,1
USBLC6-2SC6,U2,SOT-23-6,C7519,1
